Region,Region code,Postcode
NSW major urban - capital city,1,"1,574"
NSW major urban - capital city,1,"1,575"
NSW major urban - capital city,1,"1,576"
NSW major urban - capital city,1,"1,577"
NSW major urban - capital city,1,"1,578"
NSW major urban - capital city,1,"1,579"
NSW major urban - capital city,1,"1,580"
NSW major urban - capital city,1,"1,581"
NSW major urban - capital city,1,"1,582"
NSW major urban - capital city,1,"1,583"
NSW major urban - capital city,1,"1,584"
NSW major urban - capital city,1,"1,585"
NSW major urban - capital city,1,"1,586"
NSW major urban - capital city,1,"1,587"
NSW major urban - capital city,1,"1,588"
NSW major urban - capital city,1,"1,589"
NSW major urban - capital city,1,"1,590"
NSW major urban - capital city,1,"1,591"
NSW major urban - capital city,1,"1,592"
NSW major urban - capital city,1,"1,593"
NSW major urban - capital city,1,"1,594"
NSW major urban - capital city,1,"1,595"
NSW major urban - capital city,1,"1,596"
NSW major urban - capital city,1,"1,597"
NSW major urban - capital city,1,"1,598"
NSW major urban - capital city,1,"1,599"
NSW major urban - capital city,1,"1,600"
NSW major urban - capital city,1,"1,601"
NSW major urban - capital city,1,"1,602"
NSW major urban - capital city,1,"1,603"
NSW major urban - capital city,1,"1,604"
NSW major urban - capital city,1,"1,605"
NSW major urban - capital city,1,"1,606"
NSW major urban - capital city,1,"1,607"
NSW major urban - capital city,1,"1,608"
NSW major urban - capital city,1,"1,609"
NSW major urban - capital city,1,"1,610"
NSW major urban - capital city,1,"1,611"
NSW major urban - capital city,1,"1,612"
NSW major urban - capital city,1,"1,613"
NSW major urban - capital city,1,"1,614"
NSW major urban - capital city,1,"1,615"
NSW major urban - capital city,1,"1,616"
NSW major urban - capital city,1,"1,617"
NSW major urban - capital city,1,"1,618"
